,IXP Name,City,State
181,Statewide North Carolina Internet Exchange - Statewide NC-IX,Charlotte,NC
182,St. Louis Regional Internet Exchange - FD-IX - St. Louis,St. Louis,MO
183,Tahoe Internet Exchange - TahoeIX,Reno,NV
184,Tampa Internet Exchange - TampaIX,Tampa,FL
185,Tampa Internet Exchange - TPAIX,Tampa,FL
186,Texas-IX - FD-IX - Texas,Houston,TX
187,Texas-IX - FD-IX - Texas,San Antonio,TX
188,Texas-IX - FD-IX - Texas,Austin,TX
189,Texas-IX - FD-IX - Texas,Dallas,TX
190,The Big Apple Peering Exchange - BigApe,New York,NY
191,The Milwaukee IX - MKE-IX,Milwaukee,WI
192,The South Coast Access Exchange - TheSCAX,Brookings,OR
193,Tucson Internet Exchange - TUSIX,Tucson,AZ
194,Twin Ports Internet Exchange - TP-IX,Duluth,MN
195,West Virginia Internet Exchange,South Charleston,WV
196,Willamette Internet Exchange,Eugene,OR
197,Yellowstone Regional Internet eXchange - YRIX,Billings,MT
198,Zero Internet eXchange San Jose,San Jose,CA
