"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"1/3/2024, Eastern Time",701915,735424,798097,627980,2409787,2045289,340823,1067854,427709,786139,281432,548142,1169662
US48,"1/4/2024, Eastern Time",706456,692597,816406,593522,2428138,2064395,340090,1061712,430238,744147,288273,538419,1168857
US48,"1/5/2024, Eastern Time",700442,754904,814876,605782,2490515,2083237,354057,1069388,443452,727947,290707,542626,1123580
US48,"1/6/2024, Eastern Time",680524,636153,779064,558964,2369179,1927858,340209,1054815,426204,615688,284463,457101,1129354
US48,"1/7/2024, Eastern Time",655090,596263,780580,549127,2250380,1908840,351918,1063631,418058,640712,298466,461968,1128828
US48,"1/8/2024, Eastern Time",731115,713547,812047,611707,2364176,2033492,359225,1147167,429591,732008,317802,516521,1132724
US48,"1/9/2024, Eastern Time",736956,629836,837727,588150,2390065,2034034,371115,1130951,435703,645936,319124,478919,1249073
US48,"1/10/2024, Eastern Time",739478,651221,836386,587162,2325220,2082955,326290,1141108,410623,717079,312135,518711,1221592
US48,"1/11/2024, Eastern Time",717424,691433,824233,622937,2346247,2005062,330163,1170263,416354,697911,315635,478409,1113282
US48,"1/12/2024, Eastern Time",738653,681542,908452,613315,2346957,2020106,320701,1263956,406979,654035,315875,465951,1165565
US48,"1/13/2024, Eastern Time",690996,586192,1004869,586458,2232322,2140774,305423,1316833,389538,678392,295709,513803,1237277
US48,"1/14/2024, Eastern Time",646062,650398,1162868,628146,2456387,2314780,315520,1263263,411754,692358,274494,557515,1510256
US48,"1/15/2024, Eastern Time",675612,639392,1124479,628636,2740736,2522733,348901,1294504,450200,669743,279993,655593,1735178
US48,"1/16/2024, Eastern Time",711244,709617,1035111,626319,2837798,2607135,382934,1294738,470943,820958,279384,700430,1719101
US48,"1/17/2024, Eastern Time",706771,862398,949779,679917,2956977,2513303,386478,1209467,461496,966091,285225,724733,1580296
US48,"1/18/2024, Eastern Time",703382,790665,869617,685222,2785132,2265385,391275,1178380,483811,847146,270523,649314,1231115
US48,"1/19/2024, Eastern Time",704679,688022,960082,592727,2715301,2311918,384585,1151135,475271,724996,264991,613427,1329276
US48,"1/20/2024, Eastern Time",667148,854424,890684,639940,2800686,2392985,382883,1084829,473397,907429,263916,719206,1477912
US48,"1/21/2024, Eastern Time",649624,893051,854804,744554,2733993,2328340,373096,1036189,463436,926132,269300,701760,1424516
US48,"1/22/2024, Eastern Time",704826,831665,864179,658995,2738746,2184751,374601,1044761,468156,816633,272748,594759,1302599
US48,"1/23/2024, Eastern Time",675852,691964,819750,581010,2497005,2000922,356783,1026231,446742,661720,286142,490872,1155058
US48,"1/24/2024, Eastern Time",704238,582401,790251,596768,2297437,1913502,361145,1039803,434340,598549,271008,428345,1113662
US48,"1/25/2024, Eastern Time",683616,538378,778970,618833,2158072,1887338,326579,1032544,411051,562157,278954,402261,1080088
US48,"1/26/2024, Eastern Time",682547,519514,780300,614451,2089475,1881374,337042,1032203,415228,544129,264644,390121,1093801
US48,"1/27/2024, Eastern Time",625023,498777,771881,611210,2009204,1813163,315486,984236,391839,523681,254561,405750,1081488
