Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2023,1050,City of Azusa,CA,CISO,213,"2,335",120,.,"2,668",0.1,0.7,0.0,.,0.8,"2,142","32,858","1,800",.,"36,800",0.1,0.7,0.0,.,0.8,85,"1,030",20,.,"1,135",21,297,16,.,334,85,"1,030",20,.,"1,135",21,297,16,.,334,14.528,14.207,15.000,.,
2023,1167,Baltimore Gas & Electric Co,MD,PJM,"219,781","150,232",0,0,"370,013",45.0,23.1,0.0,0.0,68.1,"806,629","1,775,688",0,0,"2,582,317",45.0,23.1,0.0,0.0,68.1,"41,275","46,101",0,0,"87,375","19,287","13,735",0,0,"33,022","41,275","46,101",0,0,"87,375","19,287","13,735",0,0,"33,022",3.670,11.820,0.000,0.000,https://www.psc.state.md.us/official-filings
2023,1251,Barron Electric Coop,WI,MISO,247,.,.,.,247,0.0,.,.,.,0.0,"4,952",.,.,.,"4,952",0.0,.,.,.,0.0,65,.,.,.,65,72,.,.,.,72,65,.,.,.,65,72,.,.,.,72,20.049,0.000,.,.,
2023,1273,"Bartlett Electric Coop, Inc",TX,ERCO,20,0,0,0,20,0.0,0.0,0.0,0.0,0.0,251,0,0,0,251,0.0,0.0,0.0,0.0,0.0,4,0,0,0,4,1,0,0,0,1,24,0,0,0,24,1,0,0,0,1,13.890,0.000,0.000,0.000,https://www.bartlettec.coop
2023,1366,City of Bay City - (MI),MI,MISO,"1,241","1,719",.,.,"2,960",0.1,0.2,.,.,0.3,"7,051","24,093",.,.,"31,144",0.1,0.1,.,.,0.3,211,209,.,.,420,72,98,.,.,170,211,209,.,.,420,72,98,.,.,170,8.530,14.020,.,.,
2023,1529,"Beltrami Electric Coop, Inc",MN,MISO,"4,128",793,.,.,"4,921",1.1,0.1,.,.,1.2,"51,395","9,834",.,.,"61,229",1.1,0.1,.,.,1.2,284,53,.,.,336,196,2,.,.,197,284,53,.,.,336,196,2,.,.,197,15.321,12.359,.,.,
2023,1579,PUD No 1 of Benton County,WA,BPAT,"1,401","1,806","2,980",.,"6,187",0.6,0.5,0.4,.,1.6,"23,329","5,679","20,489",.,"49,497",0.7,0.5,0.4,.,1.6,415,168,455,.,"1,038",361,115,49,.,525,415,168,455,.,"1,038",361,115,49,.,525,20.300,12.400,11.200,.,
2023,1613,Berkeley Electric Coop Inc,SC,SC,533,449,.,.,982,1.0,0.1,.,.,1.2,"5,439","4,491",.,.,"9,930",1.0,0.1,.,.,1.2,155,17,.,.,172,99,1,.,.,100,155,17,.,.,172,99,1,.,.,100,10.700,10.000,.,.,
2023,1723,"Big Bend Electric Coop, Inc",WA,BPAT,69,20,"1,274",0,"1,363",0.0,0.0,0.4,0.0,0.5,"1,174",301,"12,570",0,"14,045",0.0,0.0,0.4,0.0,0.4,57,24,667,0,748,36,9,127,0,171,57,24,667,0,748,36,9,127,0,171,17.100,15.000,9.870,.,Reported to BPA and included in their reports. 
2023,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,135,.,.,.,135,1.0,.,.,.,1.0,"1,320",.,.,.,"1,320",1.0,.,.,.,1.0,19,.,.,.,19,.,.,.,.,.,19,.,.,.,19,.,.,.,.,.,7.000,.,.,.,
2023,2008,City of Boulder City - (NV),NV,WALC,45,.,.,.,45,.,.,.,.,.,512,.,.,.,512,.,.,.,.,.,15,.,.,.,15,.,.,.,.,.,15,.,.,.,15,11,.,.,.,11,15.000,.,.,.,
