,REPORTING YEAR,FACILITY NAME,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e)
5923,2023,"SNG Station 4165 DeArmanville, AL",33.619576,-85.778225,Anniston,CALHOUN COUNTY,AL,36207,KINDER MORGAN INC (50%); THE SOUTHERN CO,12221
5924,2023,"SNG Station 4310 Muldon Storage, MS",33.745183,-88.660817,PRAIRIE,MONROE COUNTY,MS,39756,KINDER MORGAN INC (50%); THE SOUTHERN CO,23359
5925,2023,"SNG Station 5010 White Castle, LA",30.19714,-91.10277,WHITE CASTLE,IBERVILLE PARISH,LA,70788,KINDER MORGAN INC (50%); THE SOUTHERN CO,40290
5926,2023,"SNG Station 5110 Toca, LA",29.867382,-89.830553,ST. BERNARD,ST. BERNARD PARISH,LA,70085,KINDER MORGAN INC (50%); THE SOUTHERN CO,22923
5927,2023,"SNG Station 5122 Franklinton, LA",30.81735,-90.17873,FRANKLINTON,WASHINGTON PARISH,LA,70438,KINDER MORGAN INC (50%); THE SOUTHERN CO,28603
5928,2023,"SNG Station 5211 Gwinville, MS",31.730937,-90.046656,NEW HEBRON,LAWRENCE COUNTY,MS,39140,KINDER MORGAN INC (50%); THE SOUTHERN CO,61719
5929,2023,"SNG Station 5216 Bay Springs, MS",31.949109,-89.313176,Bay Springs,JASPER COUNTY,MS,39422,KINDER MORGAN INC (50%); THE SOUTHERN CO,65477
5930,2023,"SNG Station 5222 Enterprise, MS",32.151611,-88.843889,ENTERPRISE,CLARKE COUNTY,MS,39330,KINDER MORGAN INC (50%); THE SOUTHERN CO,92963
5931,2023,"SNG Station 5230 York, AL",32.31585,-88.18279,Ward,CHOCTAW COUNTY,AL,36922,KINDER MORGAN INC (50%); THE SOUTHERN CO,38671
5932,2023,"SNG Station 5236 Gallion, AL",32.496853,-87.716046,Gallion,HALE COUNTY,AL,36742,KINDER MORGAN INC (50%); THE SOUTHERN CO,11252
5933,2023,"SNG Station 5245 Selma, AL",32.526909,-86.929887,Selma,DALLAS COUNTY,AL,36703,KINDER MORGAN INC (50%); THE SOUTHERN CO,22743
5934,2023,"SNG Station 5259 Auburn, AL",32.514147,-85.47086,Auburn,LEE COUNTY,AL,36830,KINDER MORGAN INC (50%); THE SOUTHERN CO,37774
5935,2023,"SNG Station 5272 Thomaston, GA",32.7877,-84.2544,Thomaston,UPSON COUNTY,GA,30286,KINDER MORGAN INC (50%); THE SOUTHERN CO,33001
5936,2023,"SNG Station 5277 Ocmulgee, GA",32.935978,-83.712688,MACON,BIBB COUNTY,GA,31210,KINDER MORGAN INC (50%); THE SOUTHERN CO,62352
5937,2023,"SNG Station 5283 Hall Gate, GA",33.058431,-83.051382,Milledgeville,BALDWIN COUNTY,GA,31061,KINDER MORGAN INC (50%); THE SOUTHERN CO,31743
5938,2023,SNYDER GAS PLANT,32.747699,-100.923444,SNYDER,SCURRY COUNTY,TX,79549,KINDER MORGAN INC,53302
5939,2023,SOLAE CO GIBSON,40.611184,-88.181952,GIBSON CITY,FORD COUNTY,IL,60936,INTERNATIONAL FLAVORS & FRAGRANCES INC,29575
5940,2023,SOLAR TURBINES INCORPORATED,32.81903,-117.1261,SAN DIEGO,SAN DIEGO COUNTY,CA,92123,CATERPILLAR INC,34341
5941,2023,SOLDOTNA COMBUSTION TURBINE PLANT,60.499493,-150.996678,Soldotna,KENAI PENINSULA BOROUGH,AK,99669,HOMER ELECTRIC ASSOC INC,12003
5942,2023,SOLID WASTE DISPOSAL AUTHORITY,34.68894,-86.59206,HUNTSVILLE,MADISON COUNTY,AL,35804,SOLID WASTE DISPOSAL AUTHORITY,240966
5943,2023,SOLUTIA INC - INDIAN ORCHARD PLANT,42.154981,-72.526419,SPRINGFIELD,HAMPDEN COUNTY,MA,1151,EASTMAN CHEMICAL CO,59347
5944,2023,SOLUTIA INC ANNISTON PLANT,33.65099,-85.85197,ANNISTON,CALHOUN COUNTY,AL,36201,EASTMAN CHEMICAL CO,2130
5945,2023,SOLVAY CHEMICALS INC,46.136952,-122.982513,LONGVIEW,COWLITZ COUNTY,WA,98632,SOLVAY HOLDING INC,50068
5946,2023,"SOLVAY SPECIALTY POLYMERS USA, LLC",39.845474,-75.209486,THOROFARE,GLOUCESTER COUNTY,NJ,8086,SOLVAY HOLDING INC,8378
5947,2023,"SOLVAY SPECIALTY POLYMERS USA, LLC",33.368108,-82.010626,AUGUSTA,RICHMOND COUNTY,GA,30906,SOLVAY HOLDING INC,51567
5948,2023,SOLVAY Specialty Polymers USA - LLC,35.701511,-101.355111,Borger,HUTCHINSON COUNTY,TX,79007,SOLVAY HOLDING INC,25385
5949,2023,SONNEBORN LLC/PETROLIA PLT,41.01,-79.72,PETROLIA,BUTLER COUNTY,PA,16050,HF SINCLAIR CORP,54717
5950,2023,SONOCO - NEWPORT,36.01745,-83.20576,NEWPORT,COCKE COUNTY,TN,37821,SONOCO PRODUCTS CO,30003
5951,2023,SONOCO PRODUCTS COMPANY - CHATTANOOGA MILL,35.061315,-85.323309,CHATTANOOGA,HAMILTON COUNTY,TN,37405,WESTROCK CO,38523
5952,2023,SONOMA COUNTY CENTRAL DISPOSAL SITE,38.297175,-122.741432,PETALUMA,SONOMA COUNTY,CA,94952,REPUBLIC SERVICES INC,107494
5953,2023,SOUTH CENTRAL IOWA SOLID WASTE AGENCY SCISWA,41.2739,-92.9487,TRACY,MARION COUNTY,IA,50256,SOUTH CENTRAL IOWA SOLID WASTE AGENCY,53314
5954,2023,SOUTH CHESTER CO2 REMOVAL FACILITY,44.9159,-84.5411,JOHANNESBURG,OTSEGO COUNTY,MI,49751,PHILLIPS 66 (86.8%); ENBRIDGE (US) INC (,551608
5955,2023,SOUTH CUSHMAN LANDFILL,64.804,-147.699,FAIRBANKS,FAIRBANKS NORTH STAR BOROUGH,AK,99701,BOROUGH OF FAIRBANKS NORTH STAR,82673
5956,2023,SOUTH DADE SOLID WASTE DISPOSAL FACILITY,25.547222,-80.34769,GOULDS,MIAMI-DADE COUNTY,FL,33170,COUNTY OF MIAMI-DADE FLORIDA,59885
5957,2023,SOUTH DAKOTA SOYBEAN PROCESSORS,44.324969,-96.905892,VOLGA,BROOKINGS COUNTY,SD,57071,SOUTH DAKOTA SOYBEAN PROCESSORS LLC,39855
5958,2023,SOUTH SHELBY LANDFILL,34.999213,-89.906724,MEMPHIS,SHELBY COUNTY,TN,38116,REPUBLIC SERVICES INC,126877
5959,2023,SOUTH SIDE LANDFILL INC,39.716111,-86.205,INDIANAPOLIS,MARION COUNTY,IN,46221,600 LAND INC,74893
5960,2023,SOUTH TEXAS ELECTRIC COOP,28.8947,-97.1347,NURSERY,VICTORIA COUNTY,TX,77976,SOUTH TEXAS ELECTRIC COOPERATIVE INC,144164
5961,2023,SOUTH WAKE LANDFILL,35.674942,-78.85138,APEX,WAKE COUNTY,NC,27502,WAKE COUNTY GOVERNMENT,81951
5962,2023,SOUTHBRIDGE RECYCLING & DISPOSAL PARK,42.10516,-72.03195,SOUTHBRIDGE,WORCESTER COUNTY,MA,1550,CASELLA WASTE SYSTEMS INC,4476
5963,2023,SOUTHEAST BERRIEN COUNTY LANDFILL,41.813371,-86.332814,BUCHANAN,BERRIEN COUNTY,MI,49107,SOUTHEAST BERRIEN COUNTY LANDFILL,153061
5964,2023,SOUTHEAST COUNTY LANDFILL,27.762601,-82.20147,LITHIA,HILLSBOROUGH COUNTY,FL,33547,HILLSBOROUGH COUNTY FLORIDA,149426
5965,2023,SOUTHEAST LANDFILL OKC,35.40004,-97.4641,OKLAHOMA CITY,OKLAHOMA COUNTY,OK,73149,JOYCE ALMQUIST (6.25%); MARKEETA LERAY (6.25%); DOERFLER DUMP LLC (25%); HOSTER BROTHERS INC (25%); OK TITLE CLEARING (25%); GINGERLYNN INC (,82557
5966,2023,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,41.475589,-72.068786,PRESTON,NEW LONDON COUNTY,CT,6365,COVANTA HOLDING CORP,103873
5967,2023,SOUTHERN ALLEGHENIES LDFL,40.23252,-78.895563,DAVIDSVILLE,SOMERSET COUNTY,PA,15928,NOBLE ENVIRONMENTAL INC,9954
5968,2023,SOUTHERN CALIFORNIA GAS CO End User Emissions (LDC),34.043925,-118.242429,LOS ANGELES,LOS ANGELES COUNTY,CA,90013,SEMPRA ENERGY  (1,1287219
5969,2023,SOUTHERN ILLINOIS REGIONAL LANDFILL,37.843781,-89.263298,DESOTO,JACKSON COUNTY,IL,62924,REPUBLIC SERVICES INC,41232
5970,2023,SOUTHERN ILLINOIS UNIVERSITY,37.71083,-89.21754,CARBONDALE,JACKSON COUNTY,IL,62901,SOUTHERN ILLINOIS UNIVERSITY SYSTEM,121829
5971,2023,SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE,44.797076,-95.170752,RENVILLE,RENVILLE COUNTY,MN,56284,SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE,522589
5972,2023,SOUTHWEST IOWA RENEWABLE ENERGY,41.17277,-95.8241,COUNCIL BLUFFS,POTTAWATTAMIE COUNTY,IA,51503,SOUTHWEST IOWA RENEWABLE ENERGY LLC,145413
5973,2023,SOUTHWEST LANDFILL,35.01422,-101.95454,CANYON,RANDALL COUNTY,TX,79015,REPUBLIC SERVICES INC,93780
5974,2023,SOUTHWEST OZONA GAS PLANT,30.4462,-101.4674,OZONA,CROCKETT COUNTY,TX,76943,PHILLIPS 66 (86.8%); ENBRIDGE (US) INC (,46828
5975,2023,SOUTHWEST REGIONAL LANDFILL,33.2222,-112.6371,BUCKEYE,MARICOPA COUNTY,AZ,85326,REPUBLIC SERVICES INC,14896
5976,2023,SOUTHWIRE COMPANY,33.564833,-85.071917,CARROLLTON,CARROLL COUNTY,GA,30119,SOUTHWIRE CO LLC,28343
5977,2023,SOUTHWIRE COMPANY KENTUCKY PLANT,37.934908,-86.788047,HAWESVILLE,HANCOCK COUNTY,KY,42348,SOUTHWIRE CO LLC,57297
5978,2023,SP 49 A,28.88543034,-89.06376903,Offshore,Unknown,LA,0,W&T OFFSHORE INC,56231
5979,2023,"SP Fiber Technologies Southeast, LLC",32.504129,-82.844859,DUBLIN,LAURENS COUNTY,GA,31027,WESTROCK CO,102078
5980,2023,SPADRA LANDFILL,34.038555,-117.8237,WALNUT,LOS ANGELES COUNTY,CA,91789,COUNTY OF LOS ANGELES CALIFORNIA,8397
5981,2023,SPARTAN STEEL COATING,41.95772,-83.35317,MONROE,MONROE COUNTY,MI,48162,Worthington Steel (52%); CLEVELAND-CLIFFS INC,21172
5982,2023,SPECIALTY MINERALS,42.6432,-73.1135,ADAMS,BERKSHIRE COUNTY,MA,1220,MINERALS TECHNOLOGIES INC,104307
5983,2023,SPINDLE GAS PROCESSING PLANT,40.088944,-104.884194,FT LUPTON,WELD COUNTY,CO,80621,PHILLIPS 66 (86.8%); ENBRIDGE (US) INC (,24750
5984,2023,SPINDLETOP COMPRESSOR STATION,30.025245,-94.078831,BEAUMONT,JEFFERSON COUNTY,TX,77705,DCP MIDSTREAM LP (50%); ENTERGY CORP,53453
5985,2023,SPIRIT AEROSYSTEMS INC,37.621665,-97.282695,WICHITA,SEDGWICK COUNTY,KS,67210,SPIRIT AEROSYSTEMS HOLDINGS INC,100999
5986,2023,SPR San Joaquin Basin,35.3515611,-119.0576298,Bakersfield,Unknown,CA,93309,SENTINEL PEAK RESOURCES LLC,886785
5987,2023,SPRING GARDENS STEAM PLANT,39.273021,-76.618646,BALTIMORE,BALTIMORE CITY,MD,21230,VICINITY ENERGY INC,55078
5988,2023,SPRINGFIELD SANITARY LANDFILL,37.377418,-93.342656,WILLARD,GREENE COUNTY,MO,65781,SPRINGFIELD MISSOURI,189232
5989,2023,SPRINGHILL REGIONAL LANDFILL,30.928,-85.427,CAMPBELLTON,JACKSON COUNTY,FL,32426,WASTE MANAGEMENT INC,67224
5990,2023,SPRUCE RIDGE RESOURCE MGMT FACILITY,44.815907,-94.248837,GLENCOE,MCLEOD COUNTY,MN,55336,WASTE MANAGEMENT INC,49756
5991,2023,SPSA Regional Landfill,36.7564,-76.50915,Suffolk,SUFFOLK CITY,VA,23434,Southeastern Public Service Authority,18953
5992,2023,SR 85 LANDFILL,33.1898,-112.67612,BUCKEYE,MARICOPA COUNTY,AZ,85326,CITY OF PHOENIX ARIZONA,227968
5993,2023,SRI International Cogeneration Project,37.457173,-122.178049,Menlo Park,SAN MATEO COUNTY,CA,94025,SRI INTERNATIONAL,22637
5994,2023,SRPSA Butcher Creek Landfill,36.731009,-78.428012,Chase City,MECKLENBURG COUNTY,VA,23924,SOUTHSIDE REGIONAL PUBLIC SERVICE AUTHORITHY,47292
5995,2023,SRW Cogen Limited Partnership,30.0561,-93.7539,ORANGE,Orange,TX,77630,DOW INC,1230379
5996,2023,SS 72 J/LQ/OF,28.954091,-90.960667,OFFSHORE,Unknown,LA,0,SANARE ENERGY PARTNERS LLC,50788
5997,2023,SSAB ALABAMA INCORPORATED,30.943048,-88.012823,AXIS,MOBILE COUNTY,AL,36505,SSAB US HOLDING INC,335797
5998,2023,SSAB Iowa Inc.,41.48553,-90.82278,MUSCATINE,MUSCATINE COUNTY,IA,52761,SSAB US HOLDING INC,295476
5999,2023,ST 37 A & J_21897,28.92849,-90.353277,Offshore,Unknown,LA,0,ARENA ENERGY LP,16348
6000,2023,ST JOHN LANDFILL,45.600836,-122.760606,PORTLAND,MULTNOMAH COUNTY,OR,97203,METRO,1720
6001,2023,ST LANDRY PARISH LANDFILL,30.6833,-92.060059,WASHINGTON,ST. LANDRY PARISH,LA,70589,ST LANDRY PARISH WASTE DISPOSAL DISTRICT,78306
6002,2023,ST PAPER LLC,44.873593,-88.14389,OCONTO FALLS,OCONTO COUNTY,WI,54154,ST PAPER LLC,32739
6003,2023,ST PAUL COGENERATION,44.94302,-93.093857,ST. PAUL,RAMSEY COUNTY,MN,55102,DTE ST PAUL LLC (50%); EVER-GREEN ENERGY INC,34885
6004,2023,ST Paper 1 LLC,46.735748,-92.16159296,Duluth,Unknown,MN,55807,TAK INVESTMENT LLC,32834
6005,2023,ST Tissue - Franklin Facility,36.67816,-76.91079,Franklin,ISLE OF WIGHT COUNTY,VA,23851,TAK INVESTMENT LLC,50069
6006,2023,ST. GEORGE CITY POWER: MILLCREEK GENERATION STATION,37.1124,-113.5155,ST. GEORGE,WASHINGTON COUNTY,UT,84770,CITY OF ST GEORGE UTAH,65482
6007,2023,ST. LUCIE COUNTY BALING AND RECYCLING FACILITY,27.37811,-80.38832,FT. PIERCE,ST. LUCIE COUNTY,FL,34981,ST LUCIE COUNTY COMMISSIONERS,58763
6008,2023,STAFFORD COUNTY LANDFILL,38.38066,-77.413488,STAFFORD,STAFFORD COUNTY,VA,22554,COUNTY OF STAFFORD VIRGINIA,75197
6009,2023,STANISLAUS FOOD PRODUCTS COMPANY,37.63617,-120.99151,MODESTO,STANISLAUS COUNTY,CA,95354,STANISLAUS FOOD PRODUCTS CO,64791
6010,2023,STARPET INCORPORATED,35.77262,-79.82243,ASHEBORO,RANDOLPH COUNTY,NC,27203,STARPET INC,34534
6011,2023,STARRETT CITY POWER PLANT,40.64917,-73.87973,BROOKLYN,KINGS COUNTY,NY,11239,STARRET CITY ASSOCIATES,82611
6012,2023,STATEWIDE LANDFILL,40.74315,-81.39866,CANTON,STARK COUNTY,OH,44706,WASTE MANAGEMENT INC,536
6013,2023,STATION #2 - FLAGSTAFF CMP STN,35.227948,-111.827049,BELLEMONT,COCONINO COUNTY,AZ,86015,ENERGY TRANSFER LP,63422
6014,2023,STATION #3 - LEUPP CMP STN,35.3043,-110.8471,LEUPP,COCONINO COUNTY,AZ,86035,ENERGY TRANSFER LP,65390
6015,2023,STATION #5 - THOREAU CMP STN,35.423494,-108.237385,THOREAU,MCKINLEY COUNTY,NM,87323,ENERGY TRANSFER LP,46150
6016,2023,STATION #6 - LAGUNA CMP STN,35.00596,-107.24127,LAGUNA,CIBOLA COUNTY,NM,87026,ENERGY TRANSFER LP,37979
6017,2023,STATION #7 - MOUNTAINAIR CMP STN,34.278333,-106.104166,MOUNTAINAIR,TORRANCE COUNTY,NM,87036,ENERGY TRANSFER LP,32861
6018,2023,STATION #8 - CORONA CMP STN,33.009293,-105.475945,CAPITAN,Unknown,NM,88316,ENERGY TRANSFER LP,28330
6019,2023,STATION #9 - ROSWELL CMP STN,33.30324,-104.31032,ROSWELL,CHAVES COUNTY,NM,88201,ENERGY TRANSFER LP,25555
6020,2023,STD STEEL BURNHAM PLT,40.636944,-77.571944,BURNHAM,MIFFLIN COUNTY,PA,17009,NIPPON STEEL NORTH AMERICA INC,68870
6021,2023,STEEL DUST RECYCLING LLC,33.5646,-88.0599,MILLPORT,LAMAR COUNTY,AL,35576,STEEL DUST RECYCLING LLC,209664
6022,2023,STEEL DYNAMICS INC,41.364278,-84.914083,BUTLER,DEKALB COUNTY,IN,46721,STEEL DYNAMICS INC,982503
6023,2023,"STEEL DYNAMICS, INC. (SDI)",39.876783,-86.482113,PITTSBORO,HENDRICKS COUNTY,IN,46167,STEEL DYNAMICS INC,186944
6024,2023,"STEEL DYNAMICS. INC. (SDI), STRUCTUAL AND RAIL DIVISION",41.124348,-85.395659,COLUMBIA CITY,WHITLEY COUNTY,IN,46725,STEEL DYNAMICS INC,328103
6025,2023,STEPAN CO,41.441667,-88.15972,ELWOOD,WILL COUNTY,IL,60421,STEPAN CO,48421
6026,2023,"STERLING ETHANOL, LLC",40.6375,-103.190556,STERLING,LOGAN COUNTY,CO,80751,STERLING ETHANOL LLC,54556
6027,2023,STERLING STEEL COMPANY LLC,41.786281,-89.709809,STERLING,WHITESIDE COUNTY,IL,61081,LEGGETT & PLATT INC,85048
6028,2023,STEVENS POINT MILL,44.51942,-89.58392,STEVENS POINT,PORTAGE COUNTY,WI,54481,PIXELLE SPECIALTY SOLUTIONS INC,74419
6029,2023,STONE'S THROW LANDFILL,32.514014,-85.828028,TALLASSEE,TALLAPOOSA COUNTY,AL,36078,GFL ENVIRONMENTAL HOLDINGS (US) INC,47862
6030,2023,STONEPEAK CERAMICS INC,35.99979,-85.05327,CROSSVILLE,CUMBERLAND COUNTY,TN,38555,STONEPEAK CERAMICS INC,39728
6031,2023,STONY HOLLOW LANDFILL INC,39.715707,-84.252307,DAYTON,MONTGOMERY COUNTY,OH,45418,WASTE MANAGEMENT INC,29485
6032,2023,STRUCTURAL METALS INC,29.57906,-98.02368,SEGUIN,GUADALUPE COUNTY,TX,78155,COMMERCIAL METALS CO,213757
6033,2023,SUBARU of INDIANA AUTOMOTIVE INCORPORATED,40.378818,-86.792522,LAFAYETTE,TIPPECANOE COUNTY,IN,47905,SUBARU OF INDIANA AUTOMOTIVE INC,49356
6034,2023,"SUMITOMO RUBBER USA, LLC",42.969,-78.918,TONAWANDA,ERIE COUNTY,NY,14150,SUMITOMO RUBBER USA LLC,32666
6035,2023,SUMMIT COUNTY LANDFILL,39.608712,-105.997922,DILLON AREA,SUMMIT COUNTY,CO,80435,SUMMIT COUNTY COLORADO,44565
6036,2023,SUMNER LANDFILL,38.739368,-87.852363,SUMNER,LAWRENCE COUNTY,IL,62466,REPUBLIC SERVICES INC,79474
